ID,First Name,Last Name,Date,Gender,Race,Phone Number,Email
616-31-3526,Tatum,Kihn,1989/2/5,MALE,MONGOLOID,1-829-421-6165,juliet.swaniawski@yahoo.com
160-02-9765,Alessandro,Douglas,1993/2/5,FEMALE,AUSTRALOID,219.212.4684,ellen.grant@gmail.com
599-18-8489,Shaylee,Dickens,1971/2/5,MALE,AUSTRALOID,911-761-9313,gayle.goyette@hotmail.com
226-91-0107,Danielle,Kuvalis,1998/2/5,FEMALE,NEGROID,786.033.3046,ransom.lindgren@gmail.com
161-11-7276,Vivien,White,1999/2/5,MALE,AUSTRALOID,1-898-915-2361,hermina.daniel@hotmail.com
722-29-6963,Celia,Little,1971/2/5,MALE,MONGOLOID,(535) 914-3690,claire.mayert@hotmail.com
273-65-6957,Braeden,Carter,1964/2/5,FEMALE,AUSTRALOID,082-288-4173,issac.flatley@yahoo.com
804-90-4714,Marta,Predovic,1985/2/5,MALE,MONGOLOID,632.839.6501,jadyn.renner@hotmail.com
037-42-5535,Brennon,Gleason,1979/2/5,FEMALE,CAUCASOID,444.447.7975,orion.kuvalis@gmail.com
466-41-1574,Bernardo,Zieme,1985/2/5,FEMALE,NEGROID,1-589-541-3629,velma.legros@hotmail.com
